submission_id,submission_delay_hours,revision_count
SUB000000,15,1
SUB000001,5,2
SUB000002,12,2
SUB000003,14,2
SUB000004,14,2
SUB000005,1,3
SUB000006,18,0
SUB000007,19,2
SUB000008,12,3
SUB000009,20,4
SUB000010,24,3
SUB000011,10,3
SUB000012,14,2
SUB000013,23,4
SUB000014,14,2
SUB000015,11,1
SUB000016,17,3
SUB000017,7,3
SUB000018,27,3
SUB000019,7,2
SUB000020,17,2
SUB000021,12,2
SUB000022,16,0
SUB000023,21,4
SUB000024,9,0
SUB000025,23,2
SUB000026,12,4
SUB000027,3,2
SUB000028,17,1
SUB000029,5,0
SUB000030,7,1
SUB000031,12,1
SUB000032,24,1
SUB000033,15,3
SUB000034,16,0
SUB000035,10,4
SUB000036,16,3
SUB000037,18,2
SUB000038,12,3
SUB000039,10,3
SUB000040,15,0
SUB000041,19,2
SUB000042,9,3
SUB000043,17,3
SUB000044,16,2
SUB000045,12,3
SUB000046,17,2
SUB000047,12,4
SUB000048,13,2
SUB000049,9,1
SUB000050,24,0
SUB000051,21,1
SUB000052,13,2
SUB000053,14,3
SUB000054,14,3
SUB000055,6,3
SUB000056,27,0
SUB000057,18,2
SUB000058,14,2
SUB000059,27,1
SUB000060,7,2
SUB000061,1,0
SUB000062,6,4
SUB000063,13,3
SUB000064,-3,3
SUB000065,-1,2
SUB000066,-1,1
SUB000067,7,1
SUB000068,9,1
SUB000069,-3,2
SUB000070,0,2
SUB000071,16,1
SUB000072,12,2
SUB000073,2,1
SUB000074,-1,1
SUB000075,4,3
SUB000076,3,2
SUB000077,2,1
SUB000078,17,4
SUB000079,10,2
SUB000080,3,4
SUB000081,0,0
SUB000082,-4,1
SUB000083,9,2
SUB000084,0,4
SUB000085,2,3
SUB000086,3,1
SUB000087,4,0
SUB000088,10,0
SUB000089,8,4
SUB000090,-5,3
SUB000091,14,2
SUB000092,10,1
SUB000093,14,3
SUB000094,3,0
SUB000095,1,0
SUB000096,7,1
SUB000097,11,1
SUB000098,-1,1
SUB000099,8,2
SUB000100,7,5
SUB000101,-3,0
SUB000102,11,2
SUB000103,12,1
SUB000104,12,0
SUB000105,3,1
SUB000106,8,2
SUB000107,-4,1
SUB000108,2,4
SUB000109,-2,2
SUB000110,15,4
SUB000111,0,0
SUB000112,4,2
SUB000113,-4,2
SUB000114,2,1
SUB000115,3,3
SUB000116,-2,2
SUB000117,-1,1
SUB000118,3,2
SUB000119,3,3
SUB000120,23,2
SUB000121,4,1
SUB000122,21,1
SUB000123,0,2
SUB000124,15,4
SUB000125,15,0
SUB000126,18,0
SUB000127,12,3
SUB000128,7,3
SUB000129,5,5
SUB000130,14,1
SUB000131,24,3
SUB000132,16,2
SUB000133,9,5
SUB000134,17,3
SUB000135,16,1
SUB000136,12,2
SUB000137,9,3
SUB000138,20,2
SUB000139,17,2
SUB000140,0,2
SUB000141,18,1
SUB000142,9,4
SUB000143,6,2
SUB000144,26,2
SUB000145,13,1
SUB000146,22,1
SUB000147,22,2
SUB000148,12,2
SUB000149,14,1
SUB000150,26,2
SUB000151,12,1
SUB000152,10,4
SUB000153,14,1
SUB000154,8,2
SUB000155,10,1
SUB000156,8,2
SUB000157,11,1
SUB000158,-4,0
SUB000159,8,0
SUB000160,12,2
SUB000161,21,1
SUB000162,26,2
SUB000163,16,5
SUB000164,11,2
SUB000165,12,2
SUB000166,12,5
SUB000167,23,0
SUB000168,30,3
SUB000169,12,2
SUB000170,6,1
SUB000171,5,2
SUB000172,10,3
SUB000173,24,2
SUB000174,25,2
SUB000175,13,2
SUB000176,12,4
SUB000177,3,2
SUB000178,23,3
SUB000179,11,0
SUB000180,33,1
SUB000181,28,2
SUB000182,34,2
SUB000183,22,4
SUB000184,19,5
SUB000185,21,1
SUB000186,16,0
SUB000187,12,1
SUB000188,36,2
SUB000189,9,2
SUB000190,26,5
SUB000191,29,1
SUB000192,28,1
SUB000193,21,0
SUB000194,10,1
SUB000195,24,2
SUB000196,21,0
SUB000197,9,3
SUB000198,20,2
SUB000199,22,2
SUB000200,16,2
SUB000201,19,2
SUB000202,31,4
SUB000203,11,1
SUB000204,14,2
SUB000205,17,2
SUB000206,28,2
SUB000207,19,3
SUB000208,13,5
SUB000209,23,2
SUB000210,15,1
SUB000211,26,3
SUB000212,25,1
SUB000213,16,0
SUB000214,21,1
SUB000215,33,1
SUB000216,16,2
SUB000217,21,2
SUB000218,29,2
SUB000219,21,1
SUB000220,17,2
SUB000221,25,2
SUB000222,14,1
SUB000223,31,2
SUB000224,18,2
SUB000225,8,2
SUB000226,21,4
SUB000227,16,1
SUB000228,30,0
SUB000229,25,3
SUB000230,14,2
SUB000231,13,5
SUB000232,24,5
SUB000233,25,4
SUB000234,11,4
SUB000235,27,3
SUB000236,28,0
SUB000237,13,2
SUB000238,23,0
SUB000239,24,1
SUB000240,29,5
SUB000241,13,1
SUB000242,25,3
SUB000243,10,4
SUB000244,23,4
SUB000245,16,3
SUB000246,17,3
SUB000247,23,3
SUB000248,0,5
SUB000249,20,4
SUB000250,15,2
SUB000251,20,1
SUB000252,15,3
SUB000253,21,4
SUB000254,7,2
SUB000255,23,0
SUB000256,12,3
SUB000257,7,1
SUB000258,16,3
SUB000259,16,3
SUB000260,11,1
SUB000261,6,1
SUB000262,16,2
SUB000263,13,0
SUB000264,8,2
SUB000265,17,1
SUB000266,6,2
SUB000267,6,2
SUB000268,33,2
SUB000269,22,3
SUB000270,19,3
SUB000271,25,1
SUB000272,19,3
SUB000273,11,2
SUB000274,4,6
SUB000275,15,5
SUB000276,9,1
SUB000277,20,1
SUB000278,20,2
SUB000279,13,3
SUB000280,18,6
SUB000281,10,0
SUB000282,14,4
SUB000283,7,3
SUB000284,17,2
SUB000285,9,3
SUB000286,6,1
SUB000287,23,3
SUB000288,20,2
SUB000289,1,0
SUB000290,12,1
SUB000291,10,1
SUB000292,14,3
SUB000293,17,2
SUB000294,19,1
SUB000295,11,3
SUB000296,15,2
SUB000297,11,0
SUB000298,12,2
SUB000299,12,3
SUB000300,6,1
SUB000301,1,5
SUB000302,0,2
SUB000303,12,0
SUB000304,12,2
SUB000305,8,4
SUB000306,4,2
SUB000307,3,2
SUB000308,10,0
SUB000309,2,3
SUB000310,-2,3
SUB000311,8,3
SUB000312,18,4
SUB000313,8,2
SUB000314,13,4
SUB000315,13,5
SUB000316,4,2
SUB000317,14,4
SUB000318,0,4
SUB000319,12,0
SUB000320,12,2
SUB000321,13,1
SUB000322,2,2
SUB000323,17,1
SUB000324,9,6
SUB000325,9,2
SUB000326,5,1
SUB000327,5,3
SUB000328,6,1
SUB000329,9,5
SUB000330,1,2
SUB000331,11,3
SUB000332,0,1
SUB000333,-1,0
SUB000334,10,3
SUB000335,22,2
SUB000336,7,0
SUB000337,12,4
SUB000338,19,3
SUB000339,1,3
SUB000340,14,1
SUB000341,25,3
SUB000342,19,5
SUB000343,8,0
SUB000344,2,1
SUB000345,16,3
SUB000346,16,3
SUB000347,11,1
SUB000348,3,1
SUB000349,12,2
SUB000350,10,5
SUB000351,13,0
SUB000352,8,2
SUB000353,10,3
SUB000354,15,2
SUB000355,16,1
SUB000356,2,4
SUB000357,17,3
SUB000358,14,1
SUB000359,6,2
SUB000360,4,1
SUB000361,3,0
SUB000362,6,4
SUB000363,2,4
SUB000364,-3,5
SUB000365,-3,3
SUB000366,-2,2
SUB000367,-3,2
SUB000368,0,2
SUB000369,-3,1
SUB000370,5,3
SUB000371,5,5
SUB000372,6,1
SUB000373,11,3
SUB000374,0,0
SUB000375,1,0
SUB000376,12,1
SUB000377,6,1
SUB000378,9,2
SUB000379,-4,2
SUB000380,0,5
SUB000381,4,2
SUB000382,5,1
SUB000383,5,3
SUB000384,5,6
SUB000385,3,1
SUB000386,5,1
SUB000387,17,3
SUB000388,10,2
SUB000389,8,0
SUB000390,2,0
SUB000391,2,2
SUB000392,2,0
SUB000393,2,0
SUB000394,11,2
SUB000395,8,1
SUB000396,9,0
SUB000397,2,1
SUB000398,-4,3
SUB000399,13,2
SUB000400,3,2
SUB000401,-10,1
SUB000402,4,2
SUB000403,-4,0
SUB000404,2,2
SUB000405,5,2
SUB000406,11,2
SUB000407,5,2
SUB000408,10,2
SUB000409,4,3
SUB000410,6,3
SUB000411,6,2
SUB000412,10,4
SUB000413,4,3
SUB000414,0,1
SUB000415,-2,3
SUB000416,3,3
SUB000417,13,2
SUB000418,4,0
SUB000419,-2,2
SUB000420,16,4
SUB000421,14,1
SUB000422,22,1
SUB000423,25,1
SUB000424,32,1
SUB000425,20,1
SUB000426,24,4
SUB000427,30,2
SUB000428,19,2
SUB000429,18,2
SUB000430,16,3
SUB000431,32,1
SUB000432,18,4
SUB000433,25,4
SUB000434,22,0
SUB000435,20,5
SUB000436,32,2
SUB000437,31,3
SUB000438,21,2
SUB000439,26,0
SUB000440,17,1
SUB000441,23,1
SUB000442,16,3
SUB000443,14,4
SUB000444,20,2
SUB000445,34,5
SUB000446,23,3
SUB000447,13,1
SUB000448,27,0
SUB000449,20,2
SUB000450,12,4
SUB000451,21,2
SUB000452,23,3
SUB000453,24,0
SUB000454,20,1
SUB000455,15,1
SUB000456,17,1
SUB000457,20,2
SUB000458,13,1
SUB000459,19,0
SUB000460,12,0
SUB000461,17,0
SUB000462,20,1
SUB000463,27,3
SUB000464,14,0
SUB000465,27,4
SUB000466,20,2
SUB000467,14,1
SUB000468,18,3
SUB000469,14,2
SUB000470,27,3
SUB000471,24,0
SUB000472,15,6
SUB000473,12,2
SUB000474,21,4
SUB000475,9,1
SUB000476,7,1
SUB000477,13,5
SUB000478,34,0
SUB000479,24,2
SUB000480,0,2
SUB000481,10,3
SUB000482,4,2
SUB000483,4,2
SUB000484,23,0
SUB000485,12,1
SUB000486,6,2
SUB000487,9,2
SUB000488,9,2
SUB000489,13,2
SUB000490,11,1
SUB000491,-3,0
SUB000492,10,2
SUB000493,14,3
SUB000494,12,2
SUB000495,14,4
SUB000496,17,1
SUB000497,-1,2
SUB000498,6,4
SUB000499,7,0
SUB000500,3,1
SUB000501,16,1
SUB000502,6,2
SUB000503,10,3
SUB000504,4,6
SUB000505,11,2
SUB000506,9,1
SUB000507,9,0
SUB000508,7,1
SUB000509,3,1
SUB000510,5,1
SUB000511,14,4
SUB000512,21,3
SUB000513,9,0
SUB000514,17,1
SUB000515,5,1
SUB000516,5,1
SUB000517,17,6
SUB000518,8,1
SUB000519,17,2
SUB000520,12,1
SUB000521,7,1
SUB000522,3,3
SUB000523,2,0
SUB000524,1,5
SUB000525,7,0
SUB000526,18,3
SUB000527,8,2
SUB000528,1,1
SUB000529,1,1
SUB000530,3,2
SUB000531,18,1
SUB000532,10,2
SUB000533,3,2
SUB000534,6,5
SUB000535,13,4
SUB000536,-1,1
SUB000537,9,5
SUB000538,15,2
SUB000539,11,4
SUB000540,17,0
SUB000541,7,4
SUB000542,4,4
SUB000543,10,1
SUB000544,6,7
SUB000545,13,3
SUB000546,15,0
SUB000547,21,4
SUB000548,5,0
SUB000549,9,2
SUB000550,11,0
SUB000551,10,3
SUB000552,18,0
SUB000553,11,2
SUB000554,22,4
SUB000555,18,2
SUB000556,15,2
SUB000557,15,2
SUB000558,16,1
SUB000559,13,2
SUB000560,17,2
SUB000561,10,5
SUB000562,8,2
SUB000563,22,1
SUB000564,15,4
SUB000565,17,3
SUB000566,18,2
SUB000567,22,1
SUB000568,13,1
SUB000569,16,1
SUB000570,28,3
SUB000571,8,4
SUB000572,18,3
SUB000573,11,3
SUB000574,19,0
SUB000575,23,5
SUB000576,9,2
SUB000577,4,4
SUB000578,21,3
SUB000579,9,4
SUB000580,12,3
SUB000581,5,1
SUB000582,16,2
SUB000583,16,5
SUB000584,20,1
SUB000585,13,2
SUB000586,9,1
SUB000587,13,2
SUB000588,26,3
SUB000589,20,1
SUB000590,13,3
SUB000591,16,0
SUB000592,14,1
SUB000593,13,3
SUB000594,13,1
SUB000595,11,2
SUB000596,7,2
SUB000597,25,1
SUB000598,3,1
SUB000599,9,2
SUB000600,6,4
SUB000601,7,2
SUB000602,15,3
SUB000603,8,1
SUB000604,3,1
SUB000605,17,4
SUB000606,3,2
SUB000607,6,0
SUB000608,16,4
SUB000609,18,2
SUB000610,-2,3
SUB000611,18,2
SUB000612,7,2
SUB000613,13,0
SUB000614,1,5
SUB000615,10,0
SUB000616,23,1
SUB000617,14,2
SUB000618,20,3
SUB000619,6,3
SUB000620,6,2
SUB000621,4,0
SUB000622,11,3
SUB000623,13,5
SUB000624,14,0
SUB000625,19,1
SUB000626,-2,0
SUB000627,7,1
SUB000628,7,4
SUB000629,11,1
SUB000630,8,1
SUB000631,13,1
SUB000632,7,4
SUB000633,15,3
SUB000634,3,3
SUB000635,6,4
SUB000636,15,1
SUB000637,3,2
SUB000638,8,2
SUB000639,9,0
SUB000640,11,1
SUB000641,12,4
SUB000642,8,3
SUB000643,15,0
SUB000644,9,0
SUB000645,3,2
SUB000646,16,1
SUB000647,4,2
SUB000648,10,0
SUB000649,19,6
SUB000650,10,1
SUB000651,4,2
SUB000652,13,2
SUB000653,11,1
SUB000654,6,3
SUB000655,7,2
SUB000656,11,1
SUB000657,9,3
SUB000658,5,2
SUB000659,7,3
SUB000660,18,3
SUB000661,27,1
SUB000662,17,2
SUB000663,26,2
SUB000664,15,4
SUB000665,21,3
SUB000666,8,4
SUB000667,24,0
SUB000668,23,5
SUB000669,10,5
SUB000670,22,2
SUB000671,17,0
SUB000672,14,3
SUB000673,25,1
SUB000674,15,3
SUB000675,14,4
SUB000676,13,2
SUB000677,15,0
SUB000678,7,2
SUB000679,21,3
SUB000680,11,1
SUB000681,21,1
SUB000682,28,6
SUB000683,22,2
SUB000684,18,1
SUB000685,21,2
SUB000686,16,0
SUB000687,18,1
SUB000688,11,2
SUB000689,17,3
SUB000690,17,3
SUB000691,10,1
SUB000692,14,1
SUB000693,12,1
SUB000694,15,4
SUB000695,10,2
SUB000696,15,4
SUB000697,23,2
SUB000698,22,0
SUB000699,20,3
SUB000700,11,3
SUB000701,23,4
SUB000702,28,4
SUB000703,10,1
SUB000704,22,1
SUB000705,27,5
SUB000706,23,1
SUB000707,21,0
SUB000708,24,3
SUB000709,36,2
SUB000710,19,3
SUB000711,14,4
SUB000712,25,4
SUB000713,9,6
SUB000714,18,2
SUB000715,12,0
SUB000716,16,4
SUB000717,18,1
SUB000718,17,1
SUB000719,11,1
SUB000720,11,3
SUB000721,13,4
SUB000722,15,0
SUB000723,28,1
SUB000724,19,1
SUB000725,26,1
SUB000726,12,0
SUB000727,19,5
SUB000728,25,2
SUB000729,14,1
SUB000730,21,3
SUB000731,19,1
SUB000732,25,2
SUB000733,8,4
SUB000734,21,0
SUB000735,22,2
SUB000736,26,3
SUB000737,25,2
SUB000738,22,2
SUB000739,19,1
SUB000740,17,6
SUB000741,24,3
SUB000742,23,0
SUB000743,17,1
SUB000744,18,4
SUB000745,20,0
SUB000746,14,2
SUB000747,20,2
SUB000748,24,3
SUB000749,31,3
SUB000750,9,2
SUB000751,10,5
SUB000752,26,3
SUB000753,29,2
SUB000754,16,0
SUB000755,28,2
SUB000756,16,2
SUB000757,20,5
SUB000758,15,0
SUB000759,9,2
SUB000760,24,5
SUB000761,11,0
SUB000762,13,0
SUB000763,12,0
SUB000764,13,4
SUB000765,9,3
SUB000766,16,3
SUB000767,24,5
SUB000768,7,1
SUB000769,21,6
SUB000770,26,2
SUB000771,27,0
SUB000772,23,2
SUB000773,19,0
SUB000774,20,4
SUB000775,25,0
SUB000776,22,1
SUB000777,21,0
SUB000778,23,3
SUB000779,25,1
SUB000780,3,3
SUB000781,1,3
SUB000782,0,1
SUB000783,2,0
SUB000784,11,1
SUB000785,0,3
SUB000786,2,2
SUB000787,9,2
SUB000788,3,2
SUB000789,1,1
SUB000790,0,4
SUB000791,2,2
SUB000792,2,2
SUB000793,1,1
SUB000794,8,2
SUB000795,9,3
SUB000796,9,5
SUB000797,8,1
SUB000798,0,3
SUB000799,6,2
SUB000800,-2,5
SUB000801,7,4
SUB000802,6,4
SUB000803,7,1
SUB000804,5,2
SUB000805,7,2
SUB000806,4,2
SUB000807,6,1
SUB000808,-5,1
SUB000809,13,3
SUB000810,7,3
SUB000811,12,3
SUB000812,11,0
SUB000813,3,5
SUB000814,17,2
SUB000815,9,3
SUB000816,4,2
SUB000817,0,1
SUB000818,17,3
SUB000819,9,0
SUB000820,0,3
SUB000821,9,2
SUB000822,18,2
SUB000823,0,3
SUB000824,-2,1
SUB000825,1,4
SUB000826,13,2
SUB000827,8,0
SUB000828,5,0
SUB000829,8,0
SUB000830,10,1
SUB000831,0,2
SUB000832,-1,3
SUB000833,1,1
SUB000834,14,4
SUB000835,13,1
SUB000836,14,1
SUB000837,-3,2
SUB000838,4,2
SUB000839,6,1
SUB000840,12,2
SUB000841,20,1
SUB000842,23,3
SUB000843,20,2
SUB000844,10,4
SUB000845,24,2
SUB000846,18,5
SUB000847,18,1
SUB000848,13,2
